name;#publications;#publishers;publishers;density
State Institution “The Institute of Environmental Geochemistry of National Academy of Sciences of Ukraine”;2;9;"57367701800; 57210743587; 57497138300; 56103575200; 57367910400; 56416406100; 58099684900; 58099755200; 57204368232";0,222222222
State Institution “Institute of Gastroenterology of the National Academy of Medical Sciences of Ukraine”;3;11;"56736913500; 58480341900; 58245364200; 57826420900; 6506127498; 58479700100; 58479701200; 57206899179; 57212142944; 12445364600; 56736904700";0,272727273
State Higher Educational Institution National Mining University;9;25;"55437044400; 57194419359; 56447107800; 55217778700; 6508019486; 6603804708; 55320909200; 55991219200; 36184050600; 57194413457; 56446921900; 55991211800; 57212123959; 25636868900; 56447003300; 55602102100; 57194418920; 57204159539; 36186186400; 56993391400; 55990748900; 55991810300; 55891451700; 55217669900; 55603352300";0,36
State Higher Educational Institution;24;46;"55341734100; 55319986800; 55321293100; 12788930300; 55320284600; 55891700200; 55437582200; 6602872456; 56996234600; 55891727500; 6602112272; 55958409500; 55218714400; 55340546100; 55321431700; 36070139300; 6602227468; 55522393400; 55774511700; 55437076500; 55340698800; 55218475700; 55320080000; 56167333000; 57192679229; 57198724865; 55773207700; 55341503100; 57191109977; 55320401600; 57192686016; 56446572200; 57192679210; 7003375587; 6504215351; 55436867100; 55998725200; 55438077900; 36173274800; 55522742000; 56737201800; 57189498739; 55553655100; 57194694876; 8889501500; 55553157000";0,52173913
State Economy and Technology University of Transport;3;15;"57218141785; 6506291738; 57216831949; 57208784368; 57190444779; 36925606800; 57190179032; 7103366036; 55913209600; 7006204952; 57132981700; 6507296188; 7005121594; 57195675241; 57076803800";0,2
State Economic-Technological Transport University;3;7;"6506291738; 6603592874; 36925606800; 57861033200; 36925116300; 7006204952; 55580999500";0,428571429
State Ecology Academy of Postgraduate Education and Management;2;9;"57204586464; 57210122952; 56001376900; 57216901756; 57210121868; 57210284988; 57210288213; 57200175137; 57215481409";0,222222222
State Biotechnological University;4;18;"57537571500; 58019923400; 57196450338; 57929776100; 58183672700; 57209533514; 57538807700; 57383114500; 57006600800; 37461951800; 57382892700; 58019923500; 57771957900; 8963424300; 57771582800; 57006415200; 57211128569; 58361496300";0,222222222
Special Design Office of Television Systems;16;3;"57202196994; 57211288137; 55225547900";5,333333333
Space Weather Laboratory;2;2;"14061542300; 54392636100";1
Space Research Institute of National Academy of Sciences of Ukraine;2;14;"23994121800; 57208256914; 57209536574; 57189211683; 25223087400; 56177710200; 12780133600; 56335387700; 57202424721; 57214233531; 56667743100; 6602485938; 6507365226; 7005712075";0,142857143
Space Research Institute NASU-SSAU;9;13;"56990473600; 57208256914; 16444915500; 57202323039; 55795545300; 57190372318; 56335387700; 57203459153; 57214233531; 56667743100; 6602485938; 57190585330; 6507365226";0,692307692
Space Research Institute NASU-NSAU;3;10;"36179425400; 56199992700; 16444461000; 57202323039; 6507365226; 56266247600; 23492718900; 6602485938; 7003686123; 12792536500";0,3
Space Research Institute NAS Ukraine;2;8;"16444461000; 57202323039; 55795545300; 57190372318; 56470682500; 56667743100; 6602485938; 6507365226";0,25
Space Research Institute;8;21;"6505955589; 57191882734; 7005062452; 57211756028; 6603067771; 56335387700; 55579380900; 56990473600; 57208256914; 7004361810; 24537728300; 57115754900; 58542079100; 57202323039; 55795545300; 57202006988; 56667743100; 6602485938; 57226771004; 6507365226; 57209536574";0,380952381
Solana Networks;3;2;"57207684678; 57189376248";1,5
SoftServe;9;22;"57219825771; 57221875207; 56866386100; 57203849687; 56866310000; 57204560911; 14819649600; 12793134300; 57191864364; 57961924300; 8521299600; 57021260000; 57191859973; 57203150183; 57208773766; 57194480930; 6505483164; 36179919600; 56896006900; 57775882100; 37017559900; 56486038400";0,409090909
Simon Kuznets Kharkiv National University of Economics;21;44;"56328233300; 56607137800; 57458406900; 16302534800; 57218566711; 57224201563; 57202751577; 57860200500; 55538008100; 57213572686; 57219843288; 57716630700; 58266453500; 57202383896; 57195523700; 57210287284; 57409406200; 57210286707; 57190128564; 57495009200; 56809272400; 57212460303; 57214221867; 36069600100; 57208899640; 57215079602; 36068855600; 57211218421; 57815927800; 57202886856; 36089205300; 57238022400; 57189040452; 57224193648; 57219244786; 57209801180; 57195528289; 57207772989; 56658371300; 23099879900; 57193735474; 56770070400; 55819006000; 57195523310";0,477272727
Silesian University of Technology;5;16;"57210411710; 56449520400; 36967883800; 57208035680; 36600937300; 57721628200; 57204068618; 58738395900; 57208629793; 7005423913; 57203881381; 57208835103; 50661666400; 57904359900; 55644906700; 57351783700";0,3125
Silentium Systems;3;7;"57435615400; 57434935700; 57216346414; 57216331149; 57216330951; 57647160700; 58044042300";0,428571429
SI «National Institute of Phthisiology and Pulmonology named after F.G. Yanovsky;2;8;"58405920900; 58407338400; 57204561092; 58410217700; 57215334651; 58405216500; 57212088871; 57930341400";0,25
SI «Institute of Pediatrics;5;10;"58203607500; 57482623300; 57218878675; 58203260700; 57481987700; 57223172752; 57218878993; 57218880574; 57482147800; 6506258754";0,5
Shupyk National University of Healthcare of Ukraine;2;6;"35865993800; 55935174600; 57435637300; 57555662600; 57218895987; 57491075400";0,333333333
Shupyk National Medical Academy Of Postgraduate Education;2;7;"57204653192; 57204657950; 57208734542; 58334393600; 57192997633; 57208739067; 57210071147";0,285714286
Sevastopol National Technical University;4;3;"25929476800; 35609186400; 25927595200";1,333333333
Sevastopol Banking Institute;2;1;24377155100;2
Scientific Research Institute Crimean Astrophysical Observatory;2;4;"35301600900; 57196683425; 9277344800; 6701869965";0,5
Scientific Library;2;5;"58117025900; 57214448146; 57214465140; 58117184300; 57459046100";0,4
Scientific and Technical Library;2;1;57214448146;2
School of Radio Physics;2;5;"8410056200; 56784201500; 57211774973; 57200139427; 25925374600";0,4
School of Information Technology and Engineering;2;8;"24831346400; 58020564200; 57202210649; 57638929100; 38461225700; 57222488672; 57207935965; 24482887400";0,25
School of Educational Information Technology;16;21;"57201876273; 57204559813; 36601536300; 23483079300; 13105377000; 36183980100; 57190427379; 24477221900; 58456407900; 56736026400; 56485859400; 6507575441; 54420777000; 24722752200; 57192921573; 55825827900; 57196220518; 25625157400; 57189359335; 57192950691; 6701381337";0,761904762
School of Computer Science;5;27;"58265546300; 57195404131; 14831433300; 6603766459; 24484045400; 24477221900; 57454698400; 6701840218; 7004368950; 56983080500; 27868185600; 57211566692; 58264626000; 24722752200; 57212560801; 57204938906; 12773366800; 56542054800; 35518445600; 57456786700; 57215312504; 57310204300; 56446930100; 57710157200; 57205535789; 16202975800; 36104775700";0,185185185
Schmalhausen Institute of Zoology;4;13;"58113355700; 38662667500; 23099889500; 58112420700; 36767529200; 7005115077; 24068773400; 57197789880; 35339201000; 56277608500; 57208395055; 56939883000; 56641744700";0,307692308
Samsung RandD Institute Ukraine;2;6;"57892242800; 57219240592; 57405364100; 57210106356; 57892114000; 36561380700";0,333333333
Samsung R&D Institute Ukraine (SRK);6;17;"57218310727; 57193518359; 57191592568; 57209367343; 57218310377; 57218310394; 57191592131; 57191592940; 6602584042; 57209362862; 54995209800; 57190490764; 12768210800; 57218311636; 57222568573; 57218311523; 57218311074";0,352941176
Samsung R&D Institute Ukraine;3;8;"57201682654; 58099168400; 58099126000; 58099399300; 58099320400; 57265967900; 57218098270; 57266309700";0,375
Samsung R and D Institute;2;9;"57211693014; 57209367343; 57215969365; 57215968572; 57211683050; 57191592131; 57209362862; 57211689864; 57211685422";0,222222222
S.P. Timoshenko Institute of Mechanics;3;5;"7005240995; 25031062300; 7004394990; 35608606300; 56218793600";0,6
S. P. Timoshenko Institute of Mechanics;9;13;"7005240995; 6701372290; 35751499900; 57202798385; 57195441641; 35617175300; 36651768700; 9243894800; 57191950557; 7101874782; 35608606300; 6602889305; 7006220648";0,692307692
RPE Geoprom;2;4;"25637865500; 6602523298; 57201797326; 25636747300";0,5
Riga Technical University;2;8;"57211272775; 56310222100; 57201065209; 57220987167; 58148069900; 57195132787; 6701618311; 55961078000";0,25
Research Institute of Intelligent Computer Systems;2;6;"35518445600; 36856657900; 6603541176; 35598994900; 24178023300; 21933997900";0,333333333
Research Institute 'Mykolaiv Astronomical Observatory';2;9;"56698005500; 57219049579; 57219050488; 16486118800; 56698324300; 57219054091; 7003920823; 57190567403; 24465449500";0,222222222
Research Institute Group;2;17;"57325730500; 57351141600; 57218364172; 7007074195; 57200139662; 57208344824; 57664840000; 57200318868; 57213113700; 57665795900; 57349961700; 7004240035; 57433125700; 57193042812; 57215217052; 57196221255; 55328392300";0,117647059
Research Institute for Intelligent Computer Systems;5;13;"6602403139; 57212448904; 35518445600; 57200168005; 57204562086; 6603541176; 7801584826; 56008186500; 6701835869; 36856657900; 35366491300; 35366175300; 57209805916";0,384615385
Research Institute for Environment Treatment;2;5;"7005857204; 57204839114; 55845463100; 55825921500; 6603327806";0,4
RE Kavetsky Institute of Experimental Pathology;3;17;"57210053951; 7003728286; 7003343731; 57952221100; 36981419500; 36776322200; 7103396252; 6507059292; 56703489400; 7006405663; 57214167415; 6602476515; 58706935600; 57214932724; 57191376480; 7801656332; 57214938642";0,176470588
R.E. Kavetsky Institute of Experimental Pathology;3;9;"6602308178; 57192711807; 57739995700; 7004401669; 7003728286; 6506788241; 58654194900; 7801656332; 7003790951";0,333333333
Pulyui Ternopil’ National Technical University;4;14;"6603766617; 57204874983; 57201334745; 57073984400; 57201343382; 6504496440; 26537632000; 37076165500; 57766382000; 24484062600; 6601998259; 25638742300; 24479899900; 56194032700";0,285714286
Ptoukha Institute for Demography and Social Studies;2;10;"57225029294; 57362295000; 57949257500; 57202011000; 57949496100; 57948890500; 57192716834; 54897887600; 57216782990; 58499490100";0,2
Pryazovskyi State Technical University;5;16;"55340694300; 37761627800; 55505570800; 36069344500; 57435731300; 57204543624; 7006970867; 57221745932; 7005857435; 57216897387; 56309980200; 6701771261; 57194170506; 57191515926; 55340970700; 55808117000";0,3125
Prince Sattam Bin Abdulaziz University;2;6;"57203515764; 19934668700; 57211556518; 57217855650; 6506997369; 55165394800";0,333333333
Priazovsky State Technical University;2;4;"7006970867; 57205494697; 57215435308; 57207605947";0,5
PRE Geoprom;3;6;"12788840400; 25636747300; 7801383566; 6602523298; 57201797326; 6701690054";0,5
Poltava State Agrarian University;5;20;"57221412961; 57209496866; 57190132131; 57214947072; 57210948573; 57214947104; 58155211600; 22034616000; 56446990700; 56500207900; 57160064700; 57388061700; 57816090100; 57210841846; 57884236200; 57210338534; 57214945994; 58552459600; 57200144121; 55998874400";0,25
Poltava National Technical Yuri Kondratyuk University;2;4;"51461515000; 57094953000; 57215916217; 56430931600";0,5
Polissia National University;3;11;"35867898100; 57211218421; 57211199756; 57216158065; 58753535400; 57218950543; 57202648004; 55819787500; 57224997492; 57192958984; 57869752100";0,272727273
Polish Society of Disaster Medicine;2;14;"57192991561; 12645036200; 57215131352; 58420439900; 23570978500; 57212030091; 6504303633; 9843158200; 55053599400; 6603857721; 6507905201; 57209368798; 57192700596; 56845450300";0,142857143
PJSC “DTEK Pavlohradvuhillia”;2;6;"57202766614; 57212220842; 56447926500; 57224902447; 57224905601; 57204396818";0,333333333
Pisarenko Institute of Problems of Strength;30;60;"6603649640; 6602240566; 12141143000; 6602329194; 23110545800; 57196393870; 8592841300; 57197739466; 56030673000; 7006281294; 55481557600; 57209113095; 6603199233; 55921488600; 7801374824; 55362546200; 7003888236; 6602337679; 15837458100; 6701721301; 6603717479; 8629336100; 6603829265; 6602364982; 14066862400; 57202006838; 55834222500; 7006206042; 7201365397; 6603948397; 37665599700; 6701641261; 35326193400; 6602818344; 35091323800; 6506633701; 6603890668; 7801611217; 55343109400; 6603711762; 7006707350; 56062368000; 6603608724; 7006509776; 7102568629; 6701772999; 36127978800; 54898578000; 6504101245; 7202457000; 7006527101; 6603972274; 57190436677; 7005657164; 6603834577; 7005682604; 55836750400; 55362048000; 14832891700; 55362182400";0,5
Pidstryhach Institute for Applied Problems of Mechanics and Mathematics;2;4;"25026384600; 6506688247; 55510906000; 6504565625";0,5
Physico-Mechanical Institute;3;2;"6507619885; 55225598300";1,5
Petro Mohyla Black Sea State University;4;10;"57103586600; 56925427000; 57203517108; 57191861232; 56925312200; 57103674400; 56925525500; 57103650900; 57191859480; 57191862301";0,4
Petro Mohyla Black Sea National University;28;52;"56925498100; 57445880600; 57103812200; 58554034900; 57191608478; 57250163000; 55225672300; 57203517108; 57210154900; 57214946028; 57554809400; 6602324472; 57208675277; 6603485960; 57211147344; 55485484400; 7004160569; 57331240000; 55991478400; 57198354193; 57249458100; 57212602022; 57212577217; 57212608222; 56440280900; 56007918300; 57198358626; 6602445011; 57221866694; 57207954084; 57198357517; 57220779336; 16404114800; 57224201918; 57103674400; 7201827051; 55991342900; 57214947007; 7003797995; 57222145499; 57219539174; 57103586600; 49963633100; 58490215800; 56925427000; 57212609599; 57201258628; 56244928700; 57103213000; 7101860445; 57200183222; 57195508804";0,538461538
Pereiaslav-Khmelnytskyi Hryhorii Skovoroda State Pedagogical University;2;6;"57215613959; 57215417398; 57215433238; 57215432939; 57195979384; 57212619743";0,333333333
Pavlo Tychyna Uman State Pedagogical University;3;11;"57786225400; 57219987640; 57219988925; 57375044900; 57219986242; 57786525200; 57362301100; 57787424400; 26665713100; 57219987216; 57210745590";0,272727273
PAO Ukrgrafit;2;6;"7006591597; 6701550562; 12039619800; 7005136131; 12767051600; 55790018100";0,333333333
Palladin Institute of Biochemistry;5;10;"7005428351; 7102278522; 55986120800; 53879693700; 8328131500; 7003488176; 7006767982; 6603377172; 35080722900; 53879860200";0,5
Optoelectronics and Measurement Techniques;2;17;"57215547283; 54883888200; 55553505700; 35318204300; 6603766459; 57990706600; 57217308816; 55394720600; 55645481800; 6701840218; 6508109100; 8328833800; 54883991500; 57203989701; 56798208200; 7004368950; 9279702200";0,117647059
Optoelectronics and Automated Measurement Laboratory;2;18;"57206505615; 57194480930; 56013635100; 55955051400; 55357171500; 55371287100; 55357339400; 57217740092; 55903158200; 6507055676; 57189628032; 9534197500; 57204242571; 6603235319; 18038571300; 56013576800; 24342118700; 35336612100";0,111111111
Open International University of Human Development;2;7;"6503931931; 55996605500; 57205899997; 6701714823; 6603538425; 6602363804; 37125640900";0,285714286
Oles Honchar Dnipropetrovsk National University;6;15;"56444479400; 6508010169; 56491129700; 57196280789; 57193380901; 57190372318; 57214167505; 57191867000; 15122731600; 6505609275; 56996161600; 56437623300; 7003374097; 57190746607; 57212874166";0,4
Oles Honchar Dnipro National University;23;72;"57210288677; 7006559975; 57210705115; 57204582639; 57196280789; 57205154212; 57189990910; 57220073247; 57210205239; 58042210200; 57214346507; 7103102844; 57218577234; 57200226976; 57219961210; 57202238267; 57192652166; 57204582237; 57193788416; 56491129700; 6602931365; 57205237940; 58154059000; 58154338700; 58245601100; 57226134931; 58204824900; 57226168093; 41262374500; 57208674437; 57212930261; 57209796985; 56022695600; 57210696203; 57201902879; 56377125500; 57209410827; 58154058900; 57216287686; 56825899200; 57200147025; 56951298000; 57193363027; 6505609275; 57214167505; 15122731600; 6602378430; 57226167310; 56677782000; 55645191800; 36160553500; 55226002300; 55226376100; 57220267804; 57274927700; 57210594873; 56154949000; 58010598600; 57190372318; 57218576950; 57210702667; 57210286756; 6507443621; 25025773400; 57210600598; 6602364219; 58205072600; 57208017871; 58153767200; 35847695900; 56958540300; 58246301400";0,319444444
Oleksandr Dovzhenko Hlukhiv National Pedagogical University;3;12;"57194707769; 57223104682; 57458741600; 57226735652; 57458856200; 56529657700; 57214945856; 57190128564; 57223102528; 57780737700; 57211133927; 57225896687";0,25
Odessa Polytechnic State University;2;11;"27868185600; 35518445600; 57189374844; 45761210500; 7801584826; 24479899900; 54421527700; 57457058400; 16202975800; 57876302100; 57220176543";0,181818182
Odessa Polytechnic National University;7;25;"57193025809; 54401442600; 57216148600; 57188700773; 57741120700; 57192379296; 57189333248; 58577391600; 57191406873; 57904660500; 57191479168; 7801669969; 57103429400; 57203246356; 57222322762; 57190441004; 57222321410; 57191407655; 57711072100; 57222319406; 8393582500; 36845971100; 57205501123; 57226406701; 36104775700";0,28
Odessa National Polytechnical University;2;5;"57226392457; 8393582500; 57191864345; 57226406701; 54401442600";0,4
Odessa National Polytechnic University;20;50;"57017879200; 57193025809; 57196464557; 57190488371; 57220805603; 57202211853; 57226139708; 57211905029; 57207533280; 57190428346; 57211998053; 57219782305; 57204567421; 57223830519; 57226164351; 57200318014; 57196469145; 58681025200; 57216148600; 57226167441; 54419480900; 57204569500; 57210123939; 57191406873; 43060962600; 57188870404; 27868185600; 24722952700; 57103429400; 58735109800; 56585590300; 57197491335; 57188870062; 57647176300; 57191866431; 35316966900; 57210206709; 35518445600; 57226138090; 57211997890; 57191407655; 57103391900; 57711072100; 8532376700; 8393582500; 57191865810; 57705566400; 16202975800; 57205501123; 36104775700";0,4
Odessa National Maritime University;5;10;"57198779496; 57192092805; 24070067900; 57191407655; 57191411705; 57191408052; 57191406873; 57196884166; 8983573500; 57191413326";0,5
Odessa National Academy of Food Technologies;2;12;"56694090700; 56038582000; 58157476400; 56695311600; 19337071200; 7201368865; 57189322667; 57189324135; 6603845154; 57216488351; 57194016420; 55822390000";0,166666667
Odessa I.I.Mechnikov National University;3;5;"57220703810; 57220200738; 57212034123; 57221974806; 57205198036";0,6
Odessa I.I. Mechnikov National University;2;9;"57211272775; 57216881965; 57224625147; 57207879840; 35758782600; 57201065209; 57210814263; 57210806426; 56294054900";0,222222222
Odessa I. I. Mechnikov National University;3;10;"7801642066; 57847127100; 57193055786; 56347168100; 57770212800; 57210600423; 56418736700; 57193069126; 57195520981; 57202187817";0,3
Odesa Polytechnic National University;5;14;"58681025200; 57189374844; 57219779480; 56667638800; 58681428400; 57197491335; 45761210500; 8393582500; 58289385400; 58677655800; 54419480900; 57876302100; 57226777180; 35316966900";0,357142857
Odesa National Polytechnic University;3;7;"57194525992; 57189374844; 55226567100; 57191865957; 57191866431; 57191864345; 57191858904";0,428571429
O.Ya. Usikov Institute for Radio Physics and Electronics;2;7;"14024633300; 8410056200; 55942786400; 9269836800; 6602782210; 8410056300; 24468827000";0,285714286
O.S. Popov Odessa National Academy of Telecommunications;5;6;"57189323674; 57189324518; 57216680954; 57192199570; 6506227988; 57250164200";0,833333333
O.M. Beketov National University of Urban Economy in Kharkiv;2;9;"57192819017; 58783831400; 57204286328; 57191832568; 57194556555; 57192202030; 57216494222; 58783680700; 58020241400";0,222222222
O. Ya. Usikov Institute for Radiophysics and Electronics;2;6;"16402414700; 57217210048; 24175308600; 8641218700; 35275247900; 24174925300";0,333333333
O. M. Beketov National University of Urban Economy in Kharkiv;2;8;"57216484245; 57204286328; 57192202030; 56328723800; 57490214400; 57216494222; 57216492453; 58020241400";0,25
O. Honchar Dnipropetrovsk National University;2;6;"57201902879; 57218682553; 56996161600; 6505609275; 57190372318; 15122731600";0,333333333
O. Gonchar Dnepropetrovsk National University;4;6;"16437850800; 55320069900; 55553137600; 56447068800; 6506162392; 55320243300";0,666666667
North Caucasian Institute of Mining and Metallurgy (State Technological University);2;7;"57188968434; 56919738300; 57194206632; 8915855500; 57194146509; 6602135324; 56494635900";0,285714286
NCSR Demokritos;2;7;"7003787083; 54892001000; 55943233300; 57190373062; 54892001100; 55942925100; 6603641845";0,285714286
NAU KhAI;2;3;"23397933100; 56784308400; 57189332649";0,666666667
National University 'Zaporizhzhia Polytechnic';2;11;"57211625706; 57207762109; 24479741800; 7003406517; 57200940453; 57249317700; 8326364500; 57207776058; 57207759425; 55120940800; 57715333400";0,181818182
National University Zaporizhzhia Polytechnic;3;15;"57210667343; 57211625706; 7003582478; 57212303555; 57189234061; 24479741800; 56266272300; 57200940453; 57289727000; 57207759425; 55120940800; 57991708800; 57991607200; 57204944619; 57456851000";0,2
National University of Water and Environmental Engineering;8;33;"57195455554; 57211858839; 24588193000; 7801671510; 57223113749; 6504355946; 57361902200; 57192960064; 57201828016; 57220923083; 56405523100; 57216900898; 6603210615; 57362214400; 57197722354; 57192679229; 57219918955; 57221413569; 57192954953; 57209576050; 27868243500; 56835659200; 57192679210; 55791471100; 57192961359; 57192683868; 36676090900; 57220749407; 57218492431; 57216584036; 55963342700; 57214750630; 57216922349";0,242424242
National University of Ukraine on Physical Education and Sport;3;16;"57215220209; 58303127200; 58164838800; 57193360110; 57199498969; 57280561900; 57282133500; 12144153100; 57282605400; 57205436062; 57282918700; 57202003559; 57215213986; 56626526000; 57202007010; 57283229800";0,1875
National University of Radio Electronics;2;5;"57203515764; 57224189646; 57215374156; 57217115734; 6506997369";0,4
National University of Pharmacy;6;23;"14325670500; 19934064400; 16508815200; 6602554062; 55176710000; 35769274500; 15763528400; 57359594700; 36946443000; 57194130509; 57194585143; 57201431341; 57207650975; 57197796632; 57204394077; 57225107797; 57204440111; 57220208753; 57213591676; 24175685900; 56387645500; 7003360760; 55887309500";0,260869565
National University of Life and Environmental Sciences of Ukraine;43;142;"57204769537; 58768048700; 57432320500; 57217420905; 57223364826; 57353478400; 55258972200; 58768113800; 57218896355; 58019604700; 57204879318; 57217293623; 57191822433; 58768241200; 57216490322; 57909086200; 57554135500; 57201613700; 57207994931; 57222589504; 57680586200; 57226684117; 57194443737; 57202219454; 57200182403; 57210699506; 57192955547; 8380276300; 57196006131; 57209301493; 57220030054; 57216155217; 57196005481; 58768625800; 58019080100; 58066693800; 57979338000; 57218797157; 57191258138; 56535475300; 57205149275; 57902656400; 57212677712; 57210112877; 24722975700; 57941918300; 57200609600; 57202964971; 57222145792; 57190123378; 58767653500; 58067015300; 57210802050; 57191189893; 56529657700; 57209273649; 57209272320; 42062442900; 57205147518; 57200726170; 57205633452; 56019506300; 27169821800; 58572992600; 58019662000; 7003422441; 57421156900; 57196472815; 57903491800; 58573466100; 57201775833; 6603387761; 57220211947; 56667589100; 55014326700; 57190807942; 57892682700; 57195126012; 57205218797; 56436661900; 57196219083; 57201521567; 24829503600; 57201775836; 57220049627; 57217025687; 57216846105; 57221500406; 56853296600; 55347312400; 56436504200; 58564170400; 58064415100; 57189332038; 56106081200; 57226028922; 57216162707; 56545750900; 57192820550; 57190123483; 57204677409; 58508482900; 57193069126; 58097171000; 57903291900; 55190325000; 57220805994; 57353366800; 57285789900; 58573236500; 57200183450; 57205763013; 57226019339; 57200984727; 57191864364; 57203923198; 57202223472; 57222197428; 57353478300; 57324209200; 57942777600; 56845919400; 57205442688; 57194235283; 57204778664; 57202640247; 6602349022; 57362280000; 58001557700; 7801642066; 58019522200; 57219298768; 58296690500; 57190217440; 14050382100; 57218824358; 57215311803; 57188721115; 57202996198; 55372082100; 57196450151; 57202995068";0,302816901
National University of Life and Environmental Science of Ukraine;2;9;"6603387761; 56667589100; 57208583624; 8320654600; 58504670300; 56829370400; 57680586200; 57191864364; 58503862000";0,222222222
National University of Kyiv-Mohyla Academy;9;20;"26538802000; 57221725143; 57219530119; 35068038300; 57219539553; 57209444533; 56728892900; 56926594700; 57507092700; 57457010600; 24723280100; 54881960600; 57219536409; 36961257700; 6507551093; 16837255900; 57198806428; 57215353493; 57215340435; 54897978500";0,45
National University of Khmelnytsky;2;8;"57195464300; 56249263000; 57190874014; 6602577533; 7103366036; 6504167965; 57217176350; 7005121594";0,25
National University of Food Technologies;7;24;"56187840900; 7801324620; 57202049156; 23033648800; 57220204023; 57105719200; 57208081727; 57192959143; 57192542498; 57909086200; 57201289579; 56835659200; 8353936900; 55817251500; 6603392462; 58092433300; 57210437848; 58092433200; 57192594061; 57200726170; 57210153856; 57105845900; 57105011100; 58092486100";0,291666667
National University of Civil Defense of Ukraine;2;9;"57144373800; 57193325749; 57193325750; 57210419157; 57216911254; 37013019700; 57193320704; 57144568200; 57144561500";0,222222222
National University of Civil Defence of Ukraine;5;21;"58100977700; 58101864700; 57188571542; 57222155291; 57210170512; 57222156371; 57204393751; 57210286707; 57207757558; 57210360667; 6603410837; 57192819321; 57215079602; 57222150311; 57216952027; 57193320704; 57201250812; 58101690400; 57222155096; 57189323836; 57218917137";0,238095238
National University «Yuri Kondratyuk Poltava Polytechnic»;2;7;"57215958578; 57195071299; 7004385368; 58019352700; 57214755328; 57349387000; 57214218290";0,285714286
National university “Zaporizhzhia polytechnic”;2;7;"57221812771; 57710057200; 57216955972; 57208667532; 7006531104; 57223799522; 55120940800";0,285714286
National University “Zaporizhzhia Polytechnic”;4;12;"58205318000; 24479741800; 57223429822; 57200940453; 57207759425; 7006531104; 55120940800; 57202151469; 57208904976; 58289972800; 57192955619; 57208904016";0,333333333
National University “Odessa Maritime Academy”;2;4;"57218699789; 57191840060; 57189246144; 57191838593";0,5
National University;7;16;"57456789600; 6505934301; 57211329145; 57457042700; 24484045400; 57191967462; 57457044200; 57202210835; 58077448100; 57130878700; 57226101995; 6602604353; 6602806176; 42962320400; 15768592400; 7005703838";0,4375
National Transport University;3;10;"57193717620; 57190296913; 57218688050; 10045324400; 57190406204; 57201633013; 57194636055; 55822373600; 58020561600; 58599592600";0,3
National Technical University of Ukraine Kyiv Polytechnic Institute;3;5;"36600560600; 36601536300; 36195933200; 6507373717; 56925489800";0,6
National Technical University of Ukraine KPI;2;3;"25031062300; 56218793600; 6604041249";0,666666667
National Technical University of Ukraine “Igor Sikorsky Kyiv Polytechnic Institute”;194;168;"36069902600; 57208905776; 57226552476; 6506602058; 58707304800; 57200923626; 58563092500; 57205697128; 54881853400; 57195133949; 57226548265; 6603273141; 57198815503; 57198358626; 57208901299; 58734558800; 57219006750; 57226550796; 55976080600; 57219056698; 55611305200; 57456870300; 26662433900; 58127023600; 56493012400; 57202218042; 57219458405; 57210217884; 55768351500; 19934022600; 6701855242; 58689617600; 57211289386; 57217296081; 58680752500; 58490332300; 58127571000; 57195940293; 57220177733; 6506155716; 6602978717; 55926129500; 57191405413; 6701678845; 58067179700; 57670707400; 56707680600; 6506327117; 57192819425; 6603716749; 6602686355; 56422273200; 56294460900; 57194423328; 57647208500; 58259122800; 57220177419; 57039928300; 57198345549; 55232334900; 58681286500; 57219024686; 57218597975; 57211254275; 35772319200; 55977532700; 57216923306; 58127023500; 57670705200; 58162780400; 55624435000; 58288972600; 54421204800; 7003910200; 58547747700; 55497774300; 57223939703; 6701857553; 57226545748; 57016852900; 57223357264; 57202223127; 57190439255; 54795717500; 58257979400; 56962713800; 57190407286; 57211213112; 57208036595; 56217194100; 56418479100; 57198345363; 35583691500; 7006844017; 24484045400; 58288842600; 57671921900; 7801331277; 56656533400; 58173727100; 15050814400; 6602831123; 57205194569; 58133921200; 57205121635; 57552224500; 57218616971; 55774376600; 58061009300; 55368781500; 57219648493; 55825827900; 58681297400; 6603303845; 57191415579; 57208347012; 22233812100; 57209974243; 57202213333; 6506282781; 57217082842; 57195936190; 57206489823; 57202424721; 6507365226; 56029291400; 58162917100; 23985304400; 57225145359; 57644238900; 57219856647; 57192821146; 56335387700; 57216927642; 57208904023; 57220190696; 57207258986; 56925582100; 56412465200; 55819487800; 57215821999; 57216610875; 55212251300; 57228147900; 58562604000; 57198354193; 57210943957; 58291312700; 57195395231; 56941660900; 57970159700; 57225935600; 6602445011; 7004218869; 58576066200; 35772765100; 58576066100; 57227424800; 57216920089; 58575301400; 6602485938; 57202380400; 57226176881; 57209577093; 6507266216; 57202214087; 57202216979; 57219778439";1,154761905
