"Authors","Author full names","Author(s) ID","Title","Year","Link","Affiliations","Authors with affiliations","ISSN","ISBN","CODEN"
"Galeshchuk S.","Galeshchuk, Svitlana (56205106000)","56205106000","The role of technological changes in foreign-exchange market inefficiency","2016","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84976434553&doi=10.1007%2f978-3-319-40111-9_4&partnerID=40&md5=0b34169bd5fabb4a508997f492c77fa0","Faculty of Accounting and Audit, Ternopil National Economic University, Ternopil, Ukraine","Galeshchuk S., Faculty of Accounting and Audit, Ternopil National Economic University, Ternopil, Ukraine","21945357","978-331940110-2",""
"Bodyanskiy Y.; Vynokurova O.; Pliss I.; Setlak G.; Mulesa P.","Bodyanskiy, Yevgeniy (13105377000); Vynokurova, Olena (14018777000); Pliss, Iryna (6506130334); Setlak, Galina (6505681878); Mulesa, Pavlo (57189383901)","13105377000; 14018777000; 6506130334; 6505681878; 57189383901","Fast learning algorithm for deep evolving GMDH-SVM neural network in data stream mining tasks","2016","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84994330127&doi=10.1109%2fDSMP.2016.7583555&partnerID=40&md5=aa8a48e3bf94bf197fe2c3588ba56471","Kharkiv National University of Radio Electronics, 14 Nauky av., Kharkiv, 61166, Ukraine; Rzeszow University of Technology, 12 Al. Powstancow Warszawy, Rzeszow, 35-959, Poland; Uzhhorod National University, 3 Narodna Square, Uzhhorod, 88000, Ukraine","Bodyanskiy Y., Kharkiv National University of Radio Electronics, 14 Nauky av., Kharkiv, 61166, Ukraine; Vynokurova O., Kharkiv National University of Radio Electronics, 14 Nauky av., Kharkiv, 61166, Ukraine; Pliss I., Kharkiv National University of Radio Electronics, 14 Nauky av., Kharkiv, 61166, Ukraine; Setlak G., Rzeszow University of Technology, 12 Al. Powstancow Warszawy, Rzeszow, 35-959, Poland; Mulesa P., Uzhhorod National University, 3 Narodna Square, Uzhhorod, 88000, Ukraine","","978-150903736-0",""
"Kussul N.N.; Lavreniuk N.S.; Shelestov A.Y.; Yailymov B.Y.; Butko I.N.","Kussul, N.N. (6602485938); Lavreniuk, N.S. (57190582098); Shelestov, A.Y. (6507365226); Yailymov, B. Ya (56335387700); Butko, I.N. (57190585330)","6602485938; 57190582098; 6507365226; 56335387700; 57190585330","Land cover changes analysis based on deep machine learning technique","2016","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84981350581&doi=10.1615%2fJAutomatInfScien.v48.i5.40&partnerID=40&md5=e8206887e516df21d1b3a618ec833c6d","Institute of Space Research of National Academy of Sciences of Ukraine, State Space Agency of Ukraine, Kiev, Ukraine; National Academy of Sciences of Ukraine, State Space Agency of Ukraine, Kiev, Ukraine; National University of Life and Environmental Sciences of Ukraine, Kiev, Ukraine; National Center of Space Facilities Control and Test of State Space Agency of Ukraine, Kiev, Ukraine","Kussul N.N., Institute of Space Research of National Academy of Sciences of Ukraine, State Space Agency of Ukraine, Kiev, Ukraine; Lavreniuk N.S., National Academy of Sciences of Ukraine, State Space Agency of Ukraine, Kiev, Ukraine; Shelestov A.Y., National University of Life and Environmental Sciences of Ukraine, Kiev, Ukraine; Yailymov B.Y., National Academy of Sciences of Ukraine, State Space Agency of Ukraine, Kiev, Ukraine; Butko I.N., National Center of Space Facilities Control and Test of State Space Agency of Ukraine, Kiev, Ukraine","10642315","",""
"Galeshchuk S.; Mukherjee S.","Galeshchuk, Svitlana (56205106000); Mukherjee, Sumitra (7401816816)","56205106000; 7401816816","Deep learning for predictions in emerging currency markets","2017","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85049629999&doi=10.5220%2f0006250506810686&partnerID=40&md5=85fc9eb7cd736c2263af09eb982cbc78","Department of Accounting and Audit, Ternopil National Economic University, Ternopil, Ukraine; Laboratoire d'Informatique de Grenoble, Université Grenoble Alpes, Grenoble, France; College of Engineering and Computing, Nova Southeastern University, Fort Lauderdale, United States","Galeshchuk S., Department of Accounting and Audit, Ternopil National Economic University, Ternopil, Ukraine, Laboratoire d'Informatique de Grenoble, Université Grenoble Alpes, Grenoble, France; Mukherjee S., College of Engineering and Computing, Nova Southeastern University, Fort Lauderdale, United States","","978-989758220-2",""
"Romanuke V.V.","Romanuke, Vadim V. (52264446400)","52264446400","Two-layer perceptron for classifying flat scaled-turned-shifted objects by additional feature distortions in training","2015","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84949979287&partnerID=40&md5=7ea82325b553692d3b7764ee5840acd9","Department of Applied Mathematics and Social Informatics, Khmelnitskiy National University, Institutskaya str., 11, Khmelnitskiy, 29016, Ukraine","Romanuke V.V., Department of Applied Mathematics and Social Informatics, Khmelnitskiy National University, Institutskaya str., 11, Khmelnitskiy, 29016, Ukraine","17528909","",""
"Mishchuk A.; Mishkin D.; Radenović F.; Matas J.","Mishchuk, Anastasiya (57201142058); Mishkin, Dmytro (56041306600); Radenović, Filip (55621689500); Matas, Jiři (7006443210)","57201142058; 56041306600; 55621689500; 7006443210","Working hard to know your neighbor's margins: Local descriptor learning loss","2017","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85045517978&partnerID=40&md5=a14981806d739af2ae5ee3521246d497","Szkocka Research Group, Ukraine; Visual Recognition Group, CTU, Prague, Czech Republic","Mishchuk A., Szkocka Research Group, Ukraine; Mishkin D., Visual Recognition Group, CTU, Prague, Czech Republic; Radenović F., Visual Recognition Group, CTU, Prague, Czech Republic; Matas J., Visual Recognition Group, CTU, Prague, Czech Republic","10495258","",""
"Hu Z.; Bodyanskiy Y.V.; Tyshchenko O.K.","Hu, Zhengbing (57192921573); Bodyanskiy, Yevgeniy V. (13105377000); Tyshchenko, Oleksii K. (57189359335)","57192921573; 13105377000; 57189359335","A deep cascade neuro-fuzzy system for high-dimensional online fuzzy clustering","2016","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84994242475&doi=10.1109%2fDSMP.2016.7583567&partnerID=40&md5=5a1c8621ca223a29eb7cf17b7710275b","Central China Normal University, 152 Louyu Road, Wuhan, 430079, China; Kharkiv National University of Radio Electronics, 14 Nauky Ave, Kharkiv, 61166, Ukraine","Hu Z., Central China Normal University, 152 Louyu Road, Wuhan, 430079, China; Bodyanskiy Y.V., Kharkiv National University of Radio Electronics, 14 Nauky Ave, Kharkiv, 61166, Ukraine; Tyshchenko O.K., Kharkiv National University of Radio Electronics, 14 Nauky Ave, Kharkiv, 61166, Ukraine","","978-150903736-0",""
"Chernodub A.; Nowicki D.","Chernodub, Artem (55274235100); Nowicki, Dimitri (6603312833)","55274235100; 6603312833","Orthogonal permutation linear unit activation function (OPLU)","2016","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84988357953&partnerID=40&md5=f57d50cdc65b25d6a68ac79319f5b7a1","Center for Cybernetics, Institute of MMS of NASU, 42 Glushkova Ave., Kiev, 03187, Ukraine","Chernodub A., Center for Cybernetics, Institute of MMS of NASU, 42 Glushkova Ave., Kiev, 03187, Ukraine; Nowicki D., Center for Cybernetics, Institute of MMS of NASU, 42 Glushkova Ave., Kiev, 03187, Ukraine","03029743","978-331944780-3",""
"Kanishcheva O.; Bobichev V.","Kanishcheva, Olga (57003477900); Bobichev, Victoria (25925664600)","57003477900; 25925664600","Good News vs. Bad News: What are they talking about?","2017","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85045743792&doi=10.26615%2f978-954-452-049-6_044&partnerID=40&md5=1d59b014840df5d8763bf4a0fa4a2672","Intelligent Computer Systems Department, National Technical University KhPI, Ukraine; Department of Informatics and Systems Engineering, Technical University of Moldova, Moldova","Kanishcheva O., Intelligent Computer Systems Department, National Technical University KhPI, Ukraine; Bobichev V., Department of Informatics and Systems Engineering, Technical University of Moldova, Moldova","13138502","978-954452048-9",""
"Hu Z.; Bodyanskiy Y.V.; Tyshchenko O.K.","Hu, Zhengbing (57192921573); Bodyanskiy, Yevgeniy V. (13105377000); Tyshchenko, Oleksii K. (57189359335)","57192921573; 13105377000; 57189359335","A cascade deep neuro-fuzzy system for high-dimensional online possibilistic fuzzy clustering","2016","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84995422432&doi=10.1109%2fSTC-CSIT.2016.7589884&partnerID=40&md5=84e38854fcb786100f3ae650e282bcd9","School of Educational Information Technology, Central China Normal University, Wuhan, China; Control Systems Research Laboratory, Kharkiv National University of Radio Electronics, Kharkiv, Ukraine","Hu Z., School of Educational Information Technology, Central China Normal University, Wuhan, China; Bodyanskiy Y.V., Control Systems Research Laboratory, Kharkiv National University of Radio Electronics, Kharkiv, Ukraine; Tyshchenko O.K., Control Systems Research Laboratory, Kharkiv National University of Radio Electronics, Kharkiv, Ukraine","27663655","",""
"Maksymiv O.; Rak T.; Menshikova O.","Maksymiv, Oleksii (57191859739); Rak, Taras (57189380158); Menshikova, Olga (56369302200)","57191859739; 57189380158; 56369302200","Deep convolutional network for detecting probable emergency situations","2016","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84994236521&doi=10.1109%2fDSMP.2016.7583540&partnerID=40&md5=2b11ac348a30cfc73654fb51f3a2bbe1","Lviv State University of Life Safety, 35 Kleparivska str., Lviv, 79007, Ukraine","Maksymiv O., Lviv State University of Life Safety, 35 Kleparivska str., Lviv, 79007, Ukraine; Rak T., Lviv State University of Life Safety, 35 Kleparivska str., Lviv, 79007, Ukraine; Menshikova O., Lviv State University of Life Safety, 35 Kleparivska str., Lviv, 79007, Ukraine","","978-150903736-0",""
